#   q     Cout       Nout      Cside       Nside       Clong        Nlong
348.750          nan  0.000000000  0.000000000  1.000000000  0.123781703  3.000000000
351.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
353.750          nan  0.000000000          nan  0.000000000 -0.134923252  3.000000000
356.250  0.806105740  1.000000000          nan  0.000000000 -0.013169386  1.000000000
358.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
361.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
363.750  0.000000000  1.000000000          nan  0.000000000 -0.007254292  1.000000000
366.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
368.750 -0.000002631  1.000000000          nan  0.000000000          nan  0.000000000
371.250          nan  0.000000000          nan  0.000000000 -0.488848638  1.000000000
373.750          nan  0.000000000  0.338758573  1.000000000  0.041931931  2.000000000
376.250 -0.021192900  2.000000000 -0.001889459  1.000000000          nan  0.000000000
378.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
381.250          nan  0.000000000  0.087187805  1.000000000 -0.102932622  2.000000000
383.750  0.125112254  1.000000000          nan  0.000000000          nan  0.000000000
386.250          nan  0.000000000          nan  0.000000000  0.118481775  2.000000000
388.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
391.250  0.304163993  1.000000000          nan  0.000000000  0.323343610  2.000000000
393.750 -0.144750547  1.000000000          nan  0.000000000  0.000000000  1.000000000
396.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
398.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
401.250 -0.234507747  1.000000000          nan  0.000000000          nan  0.000000000
403.750 -0.120619891  2.000000000 -0.252813459  2.000000000          nan  0.000000000
406.250 -0.123859893  2.000000000          nan  0.000000000          nan  0.000000000
408.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
411.250          nan  0.000000000 -0.270180939  2.000000000  0.624628186  1.000000000
413.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
416.250          nan  0.000000000  0.084720671  1.000000000  0.000000000  2.000000000
418.750          nan  0.000000000          nan  0.000000000 -0.036012761  1.000000000
421.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
423.750          nan  0.000000000  0.128711021  1.000000000          nan  0.000000000
426.250          nan  0.000000000  0.699843625  1.000000000  0.529327967  1.000000000
428.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
431.250          nan  0.000000000          nan  0.000000000  0.219252894  1.000000000
433.750          nan  0.000000000          nan  0.000000000          nan  0.000000000
436.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
438.750          nan  0.000000000          nan  0.000000000 -0.638665580  1.000000000
441.250          nan  0.000000000          nan  0.000000000 -0.081929236  2.000000000
443.750          nan  0.000000000  0.242969488  1.000000000  0.000000000  1.000000000
446.250 -0.602943673  1.000000000          nan  0.000000000          nan  0.000000000
448.750  0.000000000  1.000000000  0.002039069  1.000000000 -0.221268549  1.000000000
451.250 -0.740419020  1.000000000          nan  0.000000000          nan  0.000000000
453.750          nan  0.000000000          nan  0.000000000 -0.054795558  2.000000000
